EmployeeID,Branch,Tenure,Salary,Department,JobSatisfaction,WorkLifeBalance,CommuteDistance,MaritalStatus,Education,PerformanceRating,TrainingHours,OverTime,NumProjects,YearsSincePromotion,EnvironmentSatisfaction,ChurnLikelihood,ChurnLikelihood_
1,San Francisco,4.0,63000.0,Legal,3.0,3.0,Long,Married,High School,3.0,88.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
2,Chicago,14.0,72000.0,Accounting,4.0,4.0,Short,Single,Bachelor,3.6666666666666665,30.0,True,3.0,2.0,3.0,Moderately Likely to Churn,2
3,Miami,4.0,40000.0,Quality Assurance,3.0,3.0,Medium,Single,High School,3.6666666666666665,64.0,False,0.0,0.0,4.0,Highly Likely to Churn,1
4,Scranton,2.0,55000.0,Legal,3.0,3.5,Short,Married,Bachelor,3.6666666666666665,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
5,Scranton,10.0,55500.0,Legal,3.0,3.0,Medium,Married,Bachelor,3.333333333333333,18.0,False,4.0,1.0,3.0,Moderately Likely to Churn,2
6,Boston,4.0,61500.0,Customer Service,4.0,3.5,Long,Married,High School,3.6666666666666665,72.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
7,Boston,10.0,82000.0,Sales,5.0,3.0,Medium,Married,Bachelor,3.6666666666666665,30.0,True,3.0,1.0,3.0,Moderately Likely to Churn,2
8,New York,6.0,59000.0,Administration,3.0,3.5,Short,Divorced,High School,3.333333333333333,40.0,True,3.0,0.0,3.0,Moderately Likely to Churn,2
9,Philadelphia,10.0,73500.0,Facilities Management,4.0,4.0,Short,Single,Bachelor,3.333333333333333,18.0,True,2.0,2.0,1.0,Highly Likely to Churn,1
10,Chicago,3.0,62500.0,Research and Development,5.0,4.0,Long,Married,Bachelor,3.6666666666666665,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
11,Scranton,4.0,43000.0,Customer Service,3.0,3.5,Short,Divorced,High School,3.6666666666666665,80.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
12,Philadelphia,7.0,74000.0,Operations,4.0,3.5,Long,Married,Bachelor,3.333333333333333,36.0,True,4.0,1.0,3.0,Moderately Likely to Churn,2
13,Scranton,10.0,61000.0,Sales,2.0,3.0,Short,Married,High School,3.333333333333333,88.0,True,3.0,4.0,2.0,Highly Likely to Churn,1
14,Scranton,8.0,54000.0,Marketing,4.0,3.5,Medium,Divorced,High School,3.333333333333333,80.0,True,0.0,1.0,2.0,Highly Likely to Churn,1
15,Chicago,6.0,68000.0,Sales,5.0,4.0,Short,Married,High School,3.333333333333333,64.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
16,New York,13.0,71500.0,Public Relations,4.0,4.0,Long,Divorced,Bachelor,3.0,36.0,True,4.0,7.0,2.0,Highly Likely to Churn,1
17,New York,2.0,76000.0,Sales,1.0,3.5,Short,Married,Master,3.6666666666666665,18.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
18,Philadelphia,8.0,69000.0,Quality Assurance,4.0,4.036633713584579,Long,Married,Bachelor,3.14297977302147,30.0,True,2.818418044690876,2.0,2.2253888788695644,Highly Likely to Churn,1
19,Chicago,3.0,73000.0,Research and Development,4.0,3.5,Short,Divorced,Master,3.333333333333333,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
20,Chicago,11.0,62000.0,Accounting,4.0,3.5,Short,Married,High School,3.0,40.0,False,4.0,4.0,2.0,Highly Likely to Churn,1
21,Los Angeles,6.0,66000.0,IT Support,3.0,3.5,Short,Single,Bachelor,3.0,24.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
22,Chicago,8.0,62000.0,Customer Service,5.0,4.0,Short,Married,Bachelor,3.6666666666666665,24.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
23,Los Angeles,16.0,67500.0,Research and Development,4.0,4.0,Medium,Married,High School,3.6666666666666665,56.0,True,3.0,8.0,2.0,Highly Likely to Churn,1
24,Philadelphia,4.0,63000.0,IT Support,3.0,3.5,Long,Divorced,Bachelor,4.0,30.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
25,Philadelphia,8.0,74000.0,Operations,2.0,4.0,Medium,Married,Bachelor,3.6666666666666665,30.0,True,3.0,2.0,2.0,Highly Likely to Churn,1
26,Miami,7.0,55000.0,Research and Development,4.0,4.5,Short,Divorced,Bachelor,4.0,24.0,True,3.0,1.0,2.0,Highly Likely to Churn,1
27,Seattle,6.0,64000.0,Accounting,4.0,3.920726251668263,Medium,Married,Bachelor,3.351795257684092,17.792134365057528,True,3.849695822023277,0.0,2.923242857528135,Highly Likely to Churn,1
28,Los Angeles,14.0,70500.0,Quality Assurance,4.0,4.0,Long,Married,Bachelor,3.6666666666666665,18.0,True,3.0,2.0,3.0,Moderately Likely to Churn,2
29,Atlanta,4.0,58000.0,Procurement,3.0,4.0,Long,Married,Bachelor,3.6666666666666665,18.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
30,Los Angeles,4.0,65000.0,Legal,2.0,3.0,Medium,Married,Master,3.6666666666666665,30.0,False,3.0,0.0,2.0,Highly Likely to Churn,1
31,Scranton,3.0,40500.0,Quality Assurance,3.0,4.0,Medium,Divorced,High School,3.333333333333333,56.0,False,4.0,0.0,3.0,Moderately Likely to Churn,2
32,San Francisco,4.0,73500.0,Legal,3.0,3.5,Medium,Divorced,Bachelor,3.333333333333333,18.0,True,0.0,0.0,3.0,Moderately Likely to Churn,2
33,Atlanta,10.0,74000.0,Accounting,5.0,4.0,Short,Divorced,High School,3.6666666666666665,48.0,True,3.0,2.0,2.0,Highly Likely to Churn,1
34,Boston,13.0,81500.0,Product Management,3.0,3.5,Long,Married,Bachelor,4.0,30.0,True,4.0,5.0,3.0,Moderately Likely to Churn,2
35,Los Angeles,17.0,70000.0,Research and Development,2.0,3.0,Short,Divorced,Bachelor,3.6666666666666665,6.0,False,3.0,0.0,2.0,Highly Likely to Churn,1
36,Chicago,3.0,63000.0,Sales,5.0,4.5,Short,Single,Bachelor,4.333333333333333,36.0,True,4.0,0.0,2.0,Highly Likely to Churn,1
37,Boston,3.0,60000.0,Marketing,1.0,3.5,Long,Married,Bachelor,3.333333333333333,36.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
38,Boston,3.0,70000.0,Research and Development,3.0,3.0,Short,Single,Bachelor,3.0,6.0,True,4.0,0.0,3.0,Moderately Likely to Churn,2
39,Boston,2.0,53500.0,Administration,4.0,4.5,Medium,Single,High School,4.0,88.0,True,3.0,0.0,2.0,Highly Likely to Churn,1
40,Denver,3.0,62500.0,Marketing,5.0,4.0,Long,Divorced,High School,3.333333333333333,64.0,True,4.0,0.0,3.0,Highly Likely to Churn,1
41,Chicago,12.0,73000.0,Customer Service,4.0,3.5,Long,Single,Bachelor,3.0,30.0,True,0.0,0.0,2.0,Highly Likely to Churn,1
